Tree#,Groups,WScore
1,18_11_20_2_2-18_S6_H6,0.937192
1,18_11_20_2_3-18_S6_H6,0.950055
1,18_11_20_3_1-18_S6_H6,0.948177
1,18_11_20_3_2-18_S6_H6,0.928718
1,18_11_20_3_3-18_S6_H6,0.922581
1,18_HALO_2C-18_S6_H6,0.934407
1,10_G2_HG-19_HALO_3C,0.934324
1,10_HALO_2B-19_HALO_3C,0.069421
1,11_HALO_3B-19_HALO_3C,0.06008
1,12_HALO_4B-19_HALO_3C,0.052999
1,12_W_plus_3_G1-19_HALO_3C,0.957756
1,13_HALO_5B-19_HALO_3C,0.067482
1,13_W_plus_3_G11-19_HALO_3C,0.95651
1,14_HALO_6B-19_HALO_3C,0.084408
1,14_W_plus_3_H6-19_HALO_3C,0.9369
1,15_HALO_7B-19_HALO_3C,0.090747
1,16_HALO_8B-19_HALO_3C,0.073395
1,17_HALO_1C-19_HALO_3C,0.064847
1,17_S6_g11-19_HALO_3C,0.965207
1,18_11_20_1_1-19_HALO_3C,0.802808
1,18_11_20_1_2-19_HALO_3C,0.601932
1,18_11_20_1_3-19_HALO_3C,0.823714
1,18_11_20_2_1-19_HALO_3C,0.817688
1,18_11_20_2_2-19_HALO_3C,0.771436
1,18_11_20_2_3-19_HALO_3C,0.812252
1,18_11_20_3_1-19_HALO_3C,0.841397
1,18_11_20_3_2-19_HALO_3C,0.867928
1,18_11_20_3_3-19_HALO_3C,0.580048
1,18_HALO_2C-19_HALO_3C,0.050159
1,18_S6_H6-19_HALO_3C,0.933852
1,10_G2_HG-1_HALO_1A,0.91881
1,10_HALO_2B-1_HALO_1A,0.112317
1,11_HALO_3B-1_HALO_1A,0.122656
1,12_HALO_4B-1_HALO_1A,0.126135
1,12_W_plus_3_G1-1_HALO_1A,0.953381
1,13_HALO_5B-1_HALO_1A,0.125727
1,13_W_plus_3_G11-1_HALO_1A,0.947008
1,14_HALO_6B-1_HALO_1A,0.119156
1,14_W_plus_3_H6-1_HALO_1A,0.931553
1,15_HALO_7B-1_HALO_1A,0.096604
